Member,Rating
ilovekat_,3.5937780158225987
vacantchair452,4.338900973563662
mutrd,3.8829291428839934
tvstormz,3.2461545116058472
vwaig,3.633103606944132
alpacal,3.6836812223760274
bulbaclart,4.41648161967625
littleirish.,3.6687837467922217
itzaquatic,2.5681817733482326
dijonmstrd,3.667863711265328
arcadestealer,1.1070875780359064
ozsocial,2.6422480790153364
dustyag123,3.743564629739169
klo0mi,4.10119435956054
rodentvariety,3.490318063506979
potato_woman69,2.9722786995290877
dedzi,3.543110425060866
nomadoftheworld,4.09779499886612
thebananmana,3.2797722057295613
carl-bot,2.002828180042653
adbefato,3.206454055804506
taiixio,4.369025994113351
mari34673,3.2408648399185847
leonalmessi7,3.100461696809904
ratsl,3.0
fegefeuer.,1.9721526719521203
activities,3.164959237103454
harmingarrow,2.881834098410468
_takokat,3.374485641958599
